Posizione,Similarità Coseno,Canzone,Immagine Abbinata
1,1.0000,141299.mp3,christian-august-lorentzen_portrait-of-frederik-carl-trant-and-his-wife-cornelia-nee-schumacher-1770.jpg
2,1.0000,148429.mp3,adalbert-erdeli_castle-slovakia-red-hill-1930.jpg
3,1.0000,005171.mp3,allan-ramsay_queen-charlotte-with-her-two-children.jpg
4,1.0000,145058.mp3,abraham-manievich_landscape-with-animals.jpg
5,1.0000,145646.mp3,camille-pissarro_street-winter-sunlight-and-snow.jpg
6,1.0000,148076.mp3,abraham-van-strij_the-foreign-trade.jpg
7,1.0000,137723.mp3,ilka-gedo_table-1-1949.jpg
8,1.0000,001195.mp3,kuzma-petrov-vodkin_portrait-of-the-poet-1913.jpg
9,0.9999,134052.mp3,adalbert-schaffer_still-life-with-fruits-1870.jpg
10,0.9999,145002.mp3,abraham-manievich_winter-landscape-outskirts-of-kyiv-1908.jpg
11,0.9998,142519.mp3,hans-memling_head-of-christ.jpg
12,0.9998,142551.mp3,james-ward_jerry-hudson-a-farm-labourer-with-a-longhorn-cow.jpg
13,0.9998,001883.mp3,roy-lichtenstein_as-i-opened-fire-1964.jpg
14,0.9996,144214.mp3,tsuguharu-foujita_deux-femmes-au-torse-nu.jpg
15,0.9996,137175.mp3,hans-hoffmann_lievre-entoure-de-plantes.jpg
16,0.9996,145431.mp3,abidin-dino_flower-2.jpg
17,0.9995,148213.mp3,boris-kustodiev_bather-1921.jpg
18,0.9995,145887.mp3,thomas-lawrence_lieutenant-general-sir-william-carr-beresford-1818.jpg
19,0.9995,001925.mp3,bartolomeo-veneto_salome-con-la-tesa-del-battista.jpg
20,0.9995,149118.mp3,rupert-bunny_untitled-possibly-harvest-1898.jpg
21,0.9994,142097.mp3,tom-roberts_putney-bridge-london-1908.jpg
22,0.9993,143290.mp3,m-c-escher_not_detected_204685.jpg
23,0.9993,025066.mp3,william-scott_berlin-blues-4-1965.jpg
24,0.9993,142129.mp3,abraham-van-strij_man-with-fur-hat.jpg
25,0.9993,005157.mp3,arthur-hughes_april-love-1856.jpg
26,0.9992,137152.mp3,adalbert-schaffer_fruchtestilleben.jpg
27,0.9992,149953.mp3,adalbert-schaffer_stillleben-mit-nautiluspokal-und-weintrauben.jpg
28,0.9992,137169.mp3,giorgione_portrait-of-a-man-terris-1510.jpg
29,0.9991,001930.mp3,nicholas-roerich_vignette-for-book-n-k-roerich-1918-19.jpg
30,0.9991,138018.mp3,camille-corot_mur-cotes-du-nord-1855.jpg
31,0.9991,141590.mp3,pierre-auguste-renoir_victor-chocquet-1876.jpg
32,0.9991,142567.mp3,stanley-spencer_resurrection-port-glasgow-1950.jpg
33,0.9991,148233.mp3,carolus-duran_portrait-of-emile-de-girardin-1875.jpg
34,0.9991,005191.mp3,edvard-munch_girl-yawning-1913.jpg
35,0.9991,147021.mp3,adalbert-erdeli_artists-father-1926.jpg
36,0.9990,139935.mp3,abidin-dino_saman-sar-s-illustration.jpg
37,0.9990,137551.mp3,theodore-rousseau_gateway-1855.jpg
38,0.9990,148305.mp3,gunter-umberg_untitled-1998.jpg
39,0.9990,137212.mp3,abidin-dino_partisans-1944.jpg
40,0.9990,138216.mp3,salvador-dali_untitled-first-study-for-the-three-glorious-enigmas-of-gala.jpg
41,0.9989,136469.mp3,abraham-storck_walfanger-im-eismeer.jpg
42,0.9989,138579.mp3,abraham-van-strij_the-artist-s-son.jpg
43,0.9989,149082.mp3,vasily-perov_christ-in-gethsemane.jpg
44,0.9989,144544.mp3,jacopo-bellini_view-of-a-fortification-of-jerusalem.jpg
45,0.9989,142576.mp3,luis-dourdil_landscape-1959.jpg
46,0.9988,144938.mp3,albin-egger-lienz_pieta-1926.jpg
47,0.9988,148077.mp3,achille-zo_louis-charles-de-saulces-de-freycinet-1880.jpg
48,0.9988,134444.mp3,claude-monet_the-grand-canal-venice.jpg
49,0.9988,136324.mp3,ludovic-alleaume_in-the-countryside.jpg
50,0.9987,144471.mp3,camille-corot_circle-of-nymphs-morning.jpg
51,0.9987,138414.mp3,fernand-leger_reading-1948.jpg
52,0.9987,141566.mp3,john-riley_william-chiffinch.jpg
53,0.9987,146639.mp3,lesser-ury_lady-in-black-evening-dress-with-green-scarf-1908.jpg
54,0.9987,139521.mp3,amedeo-modigliani_reclining-nude-with-folded-arms-behind-her-head-1917.jpg
55,0.9986,142571.mp3,fujishima-takeji_distant-view-of-awajishima.jpg
56,0.9986,152545.mp3,claude-monet_waterloo-bridge-1901-1.jpg
57,0.9986,145458.mp3,yov-kondzelevych_icon-of-st-john-chrysostom-and-st-basil-the-great-from-the-village-of-horodyshche-in-volhynia.jpg
58,0.9985,150015.mp3,ivan-aivazovsky_moonlit-view-of-the-bosphorus-1884.jpg
59,0.9985,005170.mp3,john-flaxman_william-pitt-earl-of-chatham.jpg
60,0.9985,148066.mp3,charles-turner_sir-thomas-charles-bunbury-6th-bt-1819.jpg
61,0.9985,141288.mp3,winslow-homer_basket-of-clams.jpg
62,0.9984,005159.mp3,claude-monet_the-road-in-front-of-saint-simeon-farm-in-winter.jpg
63,0.9984,144216.mp3,abidin-dino_flower.jpg
64,0.9984,148535.mp3,jean-auguste-dominique-ingres_madame-felix-gallois-born-nathalie-rose-joachime-bochet.jpg
65,0.9984,134077.mp3,francois-gerard_moritz-christian-reichsgraf-von-fries-mit-seiner-frau-maria-theresia-josepha-1805.jpg
66,0.9984,149143.mp3,eric-ravilious_submarines-in-dry-dock-1940.jpg
67,0.9984,141902.mp3,sergio-illuminato_optical-perceptions-percezioni-ottiche-perceptions-optiques-2020.jpg
68,0.9983,138038.mp3,nathan-oliveira_untitled-standing-figure-1990.jpg
