Song Name,Frammento 1,Frammento 2,Frammento 3,Frammento 4,Descrizione Totale
000002.mp3,"""rgb(255, 102, 0)""","""rgb(178, 178, 178)""","""rgb(102, 153, 204)""","""rgb(255, 165, 0)""","""rgb(255, 102, 0)"""
000005.mp3,"""rgb(230, 50, 30)""","""rgb(100, 150, 50)""","""rgb(200, 100, 50)""","""rgb(220, 120, 40)""","""rgb(180, 60, 30)"""
000010.mp3,"""rgb(230, 50, 30)""","""rgb(40, 60, 80)""","""rgb(200, 150, 50)""","""rgb(180, 100, 40)""","""rgb(220, 120, 60)"""
000140.mp3,"""rgb(120, 180, 60)""","""rgb(100, 140, 40)""","""rgb(130, 160, 50)""","""rgb(110, 170, 45)""","""rgb(125, 165, 55)"""
000141.mp3,"""rgb(120, 180, 100)""","""rgb(140, 160, 110)""","""rgb(200, 100, 50)""","""rgb(50, 80, 130)""","""rgb(160, 180, 120)"""
000148.mp3,"""rgb(255, 30, 30)""","""rgb(255, 150, 30)""","""rgb(30, 30, 255)""","""rgb(255, 30, 150)""","""rgb(150, 30, 255)"""
000182.mp3,"""rgb(255, 100, 30)""","""rgb(255, 100, 30)""","""rgb(255, 100, 30)""","""rgb(50, 100, 255)""","""rgb(255, 100, 30)"""
000190.mp3,"""rgb(100, 150, 100)""","""rgb(120, 160, 80)""","""rgb(180, 200, 150)""","""rgb(80, 120, 140)""","""rgb(160, 180, 120)"""
000193.mp3,"""rgb(10, 100, 150)""","""rgb(180, 190, 120)""","""rgb(50, 160, 180)""","""rgb(120, 140, 100)""","""rgb(30, 110, 130)"""
000194.mp3,"""rgb(180, 210, 150)""","""rgb(120, 160, 80)""","""rgb(150, 190, 120)""","""rgb(100, 140, 60)""","""rgb(130, 170, 90)"""
000197.mp3,"""rgb(10, 150, 150)""","""rgb(180, 180, 180)""","""rgb(100, 150, 150)""","""rgb(10, 10, 150)""","""rgb(180, 180, 180)"""
000200.mp3,"""rgb(100, 150, 100)""","""rgb(120, 160, 90)""","""rgb(110, 140, 95)""","""rgb(105, 155, 92)""","""rgb(115, 145, 93)"""
