Nome Canzone,RGB_Fragment_1,RGB_Fragment_2,RGB_Fragment_3,RGB_Fragment_4,RGB_Fragment_5,RGB_Totale
000207.mp3,"rgb(40, 0, 40)","rgb(40, 0, 0)","rgb(40, 120, 0)","rgb(40, 80, 0)","rgb(40, 80, 0)","rgb(40, 56, 8)"
000213.mp3,"rgb(40, 0, 0)","rgb(80, 0, 0)","rgb(40, 40, 0)","rgb(40, 0, 80)","rgb(40, 0, 40)","rgb(48, 8, 24)"
000666.mp3,"rgb(160, 0, 0)","rgb(200, 0, 0)","rgb(120, 0, 0)","rgb(120, 0, 0)","rgb(160, 0, 0)","rgb(152, 0, 0)"
000210.mp3,"rgb(160, 0, 0)","rgb(40, 0, 120)","rgb(40, 0, 40)","rgb(0, 0, 0)","rgb(40, 0, 0)","rgb(56, 0, 32)"
000602.mp3,"rgb(0, 0, 40)","rgb(0, 0, 80)","rgb(40, 80, 0)","rgb(0, 40, 0)","rgb(0, 40, 40)","rgb(8, 32, 32)"
000718.mp3,"rgb(40, 0, 0)","rgb(40, 40, 40)","rgb(160, 0, 0)","rgb(120, 0, 0)","rgb(40, 0, 0)","rgb(80, 8, 8)"
000667.mp3,"rgb(160, 0, 0)","rgb(200, 0, 0)","rgb(160, 0, 0)","rgb(200, 0, 0)","rgb(160, 0, 0)","rgb(176, 0, 0)"
000182.mp3,"rgb(240, 0, 0)","rgb(200, 0, 0)","rgb(80, 0, 0)","rgb(120, 0, 0)","rgb(40, 0, 0)","rgb(136, 0, 0)"
000997.mp3,"rgb(0, 0, 0)","rgb(0, 0, 0)","rgb(120, 0, 0)","rgb(40, 0, 0)","rgb(80, 0, 0)","rgb(48, 0, 0)"
000193.mp3,"rgb(0, 0, 80)","rgb(40, 0, 80)","rgb(40, 0, 40)","rgb(160, 0, 0)","rgb(40, 40, 40)","rgb(56, 8, 48)"
000715.mp3,"rgb(40, 0, 40)","rgb(40, 0, 0)","rgb(40, 40, 0)","rgb(80, 0, 0)","rgb(40, 0, 40)","rgb(48, 8, 16)"
000190.mp3,"rgb(40, 80, 0)","rgb(40, 0, 40)","rgb(0, 0, 80)","rgb(40, 80, 0)","rgb(40, 80, 0)","rgb(32, 48, 24)"
000716.mp3,"rgb(40, 0, 0)","rgb(120, 0, 0)","rgb(40, 0, 0)","rgb(40, 0, 40)","rgb(80, 0, 40)","rgb(64, 0, 16)"
000892.mp3,"rgb(160, 0, 0)","rgb(80, 0, 0)","rgb(80, 0, 0)","rgb(120, 0, 0)","rgb(200, 0, 0)","rgb(128, 0, 0)"
000459.mp3,"rgb(160, 0, 0)","rgb(120, 0, 80)","rgb(120, 0, 0)","rgb(160, 0, 40)","rgb(240, 0, 0)","rgb(160, 0, 24)"
000705.mp3,"rgb(80, 0, 0)","rgb(200, 0, 0)","rgb(80, 0, 0)","rgb(40, 0, 0)","rgb(0, 0, 0)","rgb(80, 0, 0)"
000211.mp3,"rgb(80, 0, 0)","rgb(40, 0, 120)","rgb(120, 40, 0)","rgb(120, 0, 40)","rgb(40, 0, 40)","rgb(80, 8, 40)"
000002.mp3,"rgb(160, 0, 0)","rgb(200, 0, 0)","rgb(120, 0, 0)","rgb(80, 0, 0)","rgb(240, 0, 0)","rgb(160, 0, 0)"
000574.mp3,"rgb(240, 0, 0)","rgb(200, 0, 0)","rgb(120, 0, 0)","rgb(240, 0, 0)","rgb(200, 0, 0)","rgb(200, 0, 0)"
000256.mp3,"rgb(120, 0, 0)","rgb(160, 0, 0)","rgb(160, 0, 0)","rgb(120, 0, 0)","rgb(160, 0, 0)","rgb(144, 0, 0)"
000625.mp3,"rgb(40, 40, 0)","rgb(0, 120, 0)","rgb(40, 0, 80)","rgb(40, 0, 40)","rgb(40, 40, 40)","rgb(32, 40, 32)"
000212.mp3,"rgb(160, 0, 0)","rgb(200, 0, 0)","rgb(80, 0, 0)","rgb(40, 80, 0)","rgb(80, 0, 80)","rgb(112, 16, 16)"
000140.mp3,"rgb(80, 0, 80)","rgb(40, 80, 0)","rgb(40, 40, 0)","rgb(120, 0, 0)","rgb(240, 0, 0)","rgb(104, 24, 16)"
