Metriche,Valore
Lunghezza Media Descrizioni Totali (Parole),249.87
Lunghezza Minima Descrizioni Totali (Parole),170.0
Lunghezza Massima Descrizioni Totali (Parole),297.0
Lunghezza Media Descrizioni Frammenti (Parole),133.4525
Lunghezza Minima Descrizioni Frammenti (Parole),67.0
Lunghezza Massima Descrizioni Frammenti (Parole),265.0
Lunghezza Media Frasi Totali (Parole),21.690104166666668
Frasi < Media (Totali),584.0
Frasi = Media (Totali),0.0
Frasi > Media (Totali),568.0
Frasi Complete (Totali),1113.0
Frasi Incomplete (Totali),39.0
Lunghezza Media Frasi Frammenti (Parole),19.582171680117387
Frasi < Media (Frammenti),1453.0
Frasi = Media (Frammenti),0.0
Frasi > Media (Frammenti),1273.0
Frasi Complete (Frammenti),2725.0
Frasi Incomplete (Frammenti),1.0
Similarità Media CLIP (Totale),0.29958178117871287
Similarità Minima CLIP (Totale),0.21907782554626465
Similarità Massima CLIP (Totale),0.37059569358825684
Similarità Media CLIP (Frammenti),0.25742333684116603
Similarità Minima CLIP (Frammenti),0.18492841720581055
Similarità Massima CLIP (Frammenti),0.3389984965324402
