Nome Immagine,Frammento 1,Frammento 2,Frammento 3,Frammento 4,Descrizione Totale
aleksey-savrasov_courtyard-spring-1853.jpg,"rgb(100, 150, 50)","rgb(120, 160, 40)","rgb(140, 170, 30)","rgb(160, 180, 20)","rgb(180, 190, 10)"
alfred-sisley_village-on-the-banks-of-the-seine-1872.jpg,"rgb(170, 230, 100)","rgb(180, 220, 110)","rgb(160, 210, 90)","rgb(150, 200, 80)","rgb(140, 190, 70)"
chaldin-alex_lilies.jpg,"rgb(255, 100, 50)","rgb(180, 150, 100)","rgb(120, 180, 120)","rgb(150, 200, 100)","rgb(100, 150, 100)"
currier-and-ives_catching-a-trout-1854.jpg,"rgb(170, 100, 50)","rgb(140, 120, 70)","rgb(110, 130, 90)","rgb(100, 150, 60)","rgb(120, 140, 80)"
edvard-munch_girl-yawning-1913.jpg,"rgb(255, 100, 50)","rgb(230, 150, 60)","rgb(240, 120, 40)","rgb(220, 130, 55)","rgb(210, 110, 45)"
edward-robert-hughes_day.jpg,"rgb(120, 180, 100)","rgb(150, 170, 110)","rgb(130, 160, 90)","rgb(140, 165, 85)","rgb(125, 175, 95)"
gerard-van-honthorst_diana-with-her-nymphs-1650.jpg,"rgb(180, 100, 30)","rgb(120, 160, 80)","rgb(140, 130, 110)","rgb(190, 110, 40)","rgb(120, 160, 80)"
giorgio-vasari_assumption-of-the-virgin-detail-1.jpg,"rgb(170, 190, 180)","rgb(180, 170, 160)","rgb(160, 150, 140)","rgb(190, 180, 170)","rgb(150, 160, 150)"
hans-andersen-brendekilde_en-skovtur-ved-odense-a-1897.jpg,"rgb(120, 180, 60)","rgb(140, 160, 50)","rgb(100, 170, 40)","rgb(130, 165, 55)","rgb(110, 175, 45)"
helene-de-beauvoir_untitled-9.jpg,"rgb(170, 100, 30)","rgb(200, 180, 50)","rgb(150, 120, 60)","rgb(190, 160, 40)","rgb(140, 110, 35)"
hermann-hendrich_witches-dance.jpg,"rgb(230, 100, 30)","rgb(180, 150, 50)","rgb(150, 120, 60)","rgb(200, 130, 40)","rgb(170, 110, 30)"
hiroshige_2-kasumigaseki-1857.jpg,"rgb(120, 180, 50)","rgb(150, 190, 60)","rgb(130, 170, 45)","rgb(140, 185, 55)","rgb(160, 195, 65)"
hiroshige_prune-orchard-sun.jpg,"rgb(100, 150, 50)","rgb(120, 180, 60)","rgb(140, 160, 70)","rgb(160, 140, 80)","rgb(180, 120, 90)"
ivan-albright_noname-6.jpg,"rgb(170, 100, 30)","rgb(120, 150, 60)","rgb(140, 110, 40)","rgb(130, 120, 50)","rgb(150, 100, 30)"
jan-matejko_sigismund-i-the-old.jpg,"rgb(100, 150, 50)","rgb(120, 160, 40)","rgb(80, 140, 30)","rgb(110, 155, 45)","rgb(90, 145, 35)"
jan-matejko_song.jpg,"rgb(120, 180, 60)","rgb(150, 160, 80)","rgb(100, 140, 100)","rgb(130, 170, 50)","rgb(110, 150, 70)"
jan-matejko_stanislaw-august.jpg,"rgb(170, 190, 120)","rgb(140, 160, 100)","rgb(120, 130, 80)","rgb(150, 170, 90)","rgb(130, 150, 70)"
jan-steen_esther-ahasuerus-and-haman-1668.jpg,"rgb(255, 165, 30)","rgb(200, 150, 50)","rgb(150, 100, 50)","rgb(200, 120, 60)","rgb(180, 140, 70)"
john-flaxman_illustration-to-the-iliad-1795-25.jpg,"rgb(170, 190, 130)","rgb(140, 180, 110)","rgb(120, 160, 90)","rgb(150, 170, 100)","rgb(130, 160, 80)"
john-singer-sargent_venice-the-prison.jpg,"rgb(170, 180, 120)","rgb(140, 160, 100)","rgb(190, 150, 110)","rgb(160, 170, 130)","rgb(150, 160, 125)"
john-singer-sargent_villa-de-marlia-a-fountain-1910.jpg,"rgb(120, 180, 60)","rgb(150, 160, 100)","rgb(100, 140, 80)","rgb(130, 170, 50)","rgb(110, 150, 70)"
john-singer-sargent_villa-torlonia-fountain-1907-1.jpg,"rgb(170, 190, 120)","rgb(140, 180, 100)","rgb(110, 160, 80)","rgb(130, 170, 90)","rgb(150, 180, 100)"
john-singer-sargent_villa-torlonia-fountain-1907-2.jpg,"rgb(170, 200, 100)","rgb(140, 180, 80)","rgb(120, 160, 60)","rgb(150, 190, 90)","rgb(130, 170, 70)"
juan-gris_the-open-book-1925.jpg,"rgb(120, 160, 100)","rgb(140, 170, 110)","rgb(130, 150, 90)","rgb(125, 165, 105)","rgb(135, 160, 95)"
juan-gris_the-table-in-front-of-the-picture-1926.jpg,"rgb(170, 100, 50)","rgb(140, 130, 80)","rgb(120, 150, 110)","rgb(160, 180, 120)","rgb(130, 140, 90)"
juan-gris_violin-with-fruit-1924.jpg,"rgb(170, 100, 50)","rgb(180, 150, 80)","rgb(140, 120, 60)","rgb(160, 130, 70)","rgb(150, 110, 55)"
juan-van-der-hamen_abraham-und-die-drei-engel.jpg,"rgb(170, 100, 50)","rgb(120, 80, 30)","rgb(150, 130, 70)","rgb(140, 110, 60)","rgb(160, 120, 55)"
kay-nielsen_the-unicorn-valiant-little-tailor.jpg,"rgb(170, 190, 120)","rgb(180, 180, 140)","rgb(160, 170, 110)","rgb(150, 160, 100)","rgb(140, 150, 90)"
kay-sage_constant-variation-1958.jpg,"rgb(120, 160, 100)","rgb(140, 170, 90)","rgb(130, 150, 80)","rgb(150, 160, 70)","rgb(125, 155, 85)"
kay-sage_le-passage-1956.jpg,"rgb(120, 180, 100)","rgb(150, 160, 80)","rgb(140, 140, 110)","rgb(130, 150, 90)","rgb(160, 170, 120)"
l-s-lowry_a-procession-1929.jpg,"rgb(120, 180, 100)","rgb(140, 160, 80)","rgb(200, 100, 50)","rgb(150, 170, 120)","rgb(180, 130, 60)"
le-corbusier_divinit-baroque-1943-1.jpg,"rgb(170, 100, 50)","rgb(180, 120, 60)","rgb(160, 110, 40)","rgb(150, 105, 45)","rgb(175, 115, 55)"
le-corbusier_la-chemin-e-1918.jpg,"rgb(120, 160, 180)","rgb(140, 150, 130)","rgb(100, 120, 110)","rgb(130, 140, 120)","rgb(110, 130, 100)"
le-corbusier_la-lanterne-et-le-petit-haricot-1930.jpg,"rgb(255, 100, 50)","rgb(180, 150, 100)","rgb(120, 180, 120)","rgb(150, 100, 150)","rgb(100, 150, 100)"
le-corbusier_le-bol-rouge-1919.jpg,"rgb(170, 100, 50)","rgb(180, 120, 60)","rgb(160, 110, 40)","rgb(150, 105, 45)","rgb(175, 115, 55)"
louis-comfort-tiffany_reading-lamp-tulip-design-dome-shape-1906.jpg,"rgb(120, 180, 100)","rgb(140, 160, 80)","rgb(100, 150, 60)","rgb(130, 170, 90)","rgb(110, 160, 70)"
luca-giordano_saint-sebastian-cured-by-irene-1665.jpg,"rgb(230, 100, 50)","rgb(180, 150, 80)","rgb(120, 120, 60)","rgb(150, 180, 100)","rgb(100, 140, 80)"
lucas-van-leyden_virgil-in-the-basket-1516.jpg,"rgb(120, 180, 50)","rgb(140, 160, 40)","rgb(130, 170, 60)","rgb(150, 165, 35)","rgb(145, 175, 45)"
lucian-freud_naked-girl-perched-on-a-chair.jpg,"rgb(120, 180, 100)","rgb(140, 160, 80)","rgb(150, 170, 90)","rgb(130, 165, 85)","rgb(145, 175, 95)"
lucian-freud_naked-man-with-his-friend.jpg,"rgb(120, 180, 60)","rgb(140, 160, 50)","rgb(130, 150, 40)","rgb(110, 170, 30)","rgb(125, 165, 45)"
lucian-freud_naked-man-with-rat.jpg,"rgb(120, 180, 100)","rgb(150, 160, 80)","rgb(140, 130, 60)","rgb(160, 140, 70)","rgb(130, 150, 50)"
lucian-freud_naked-portrait-1973.jpg,"rgb(170, 120, 60)","rgb(180, 150, 80)","rgb(140, 130, 110)","rgb(160, 140, 120)","rgb(150, 130, 100)"
luis-feito_n-mero-148-1959.jpg,"rgb(200, 150, 50)","rgb(180, 130, 40)","rgb(160, 110, 30)","rgb(140, 90, 20)","rgb(120, 70, 10)"
m-c-escher_baby.jpg,"rgb(230, 50, 30)","rgb(180, 70, 40)","rgb(210, 60, 35)","rgb(220, 55, 35)","rgb(200, 65, 30)"
m-c-escher_bookplate-b-g-escher-beer.jpg,"rgb(170, 100, 50)","rgb(200, 150, 70)","rgb(140, 130, 80)","rgb(190, 110, 60)","rgb(160, 120, 55)"
manuel-rivera_mutant-mirror-no-5-1971.jpg,"rgb(200, 100, 50)","rgb(180, 120, 60)","rgb(150, 130, 70)","rgb(130, 140, 80)","rgb(110, 150, 90)"
marc-chagall_abdullah-discovered-before-him-1948.jpg,"rgb(170, 100, 40)","rgb(200, 150, 60)","rgb(140, 130, 70)","rgb(180, 120, 50)","rgb(160, 110, 45)"
marc-chagall_abraham-and-three-angels-1.jpg,"rgb(120, 200, 50)","rgb(180, 150, 30)","rgb(100, 180, 60)","rgb(140, 160, 40)","rgb(160, 170, 50)"
marcel-duchamp_chess-game-1910.jpg,"rgb(170, 100, 50)","rgb(140, 120, 70)","rgb(110, 90, 40)","rgb(130, 110, 60)","rgb(150, 100, 50)"
marcel-duchamp_landscape-at-blainville-1902.jpg,"rgb(170, 190, 130)","rgb(140, 180, 110)","rgb(120, 160, 90)","rgb(150, 170, 100)","rgb(130, 160, 80)"
