Canzone Origine,"Migliore 1 (Canzone, Similarità)","Migliore 2 (Canzone, Similarità)","Migliore 3 (Canzone, Similarità)","Peggiore 1 (Canzone, Similarità)","Peggiore 2 (Canzone, Similarità)","Peggiore 3 (Canzone, Similarità)"
000002.mp3,000993.mp3 (0.951),000695.mp3 (0.918),Song Name (0.915),000203.mp3 (0.653),000197.mp3 (0.680),000825.mp3 (0.693)
000005.mp3,000574.mp3 (0.987),000667.mp3 (0.969),000705.mp3 (0.959),000197.mp3 (0.605),000193.mp3 (0.656),000203.mp3 (0.710)
000010.mp3,000705.mp3 (0.981),000574.mp3 (0.959),000005.mp3 (0.953),000193.mp3 (0.609),000197.mp3 (0.639),000203.mp3 (0.677)
000140.mp3,000534.mp3 (0.997),000714.mp3 (0.992),000546.mp3 (0.991),000825.mp3 (0.624),000148.mp3 (0.630),000997.mp3 (0.675)
000141.mp3,000615.mp3 (0.963),000621.mp3 (0.963),000190.mp3 (0.956),000825.mp3 (0.641),000148.mp3 (0.672),000897.mp3 (0.688)
000148.mp3,000695.mp3 (0.846),000694.mp3 (0.835),000822.mp3 (0.833),000621.mp3 (0.610),000140.mp3 (0.630),000203.mp3 (0.634)
000182.mp3,000708.mp3 (0.963),000995.mp3 (0.931),000667.mp3 (0.893),000193.mp3 (0.608),000822.mp3 (0.658),000203.mp3 (0.684)
000190.mp3,000210.mp3 (0.984),000200.mp3 (0.973),000212.mp3 (0.969),000825.mp3 (0.579),000897.mp3 (0.644),000997.mp3 (0.652)
000193.mp3,000602.mp3 (0.918),000200.mp3 (0.917),000210.mp3 (0.900),000825.mp3 (0.434),000897.mp3 (0.463),000997.mp3 (0.487)
000194.mp3,000210.mp3 (0.982),000814.mp3 (0.978),000200.mp3 (0.977),000825.mp3 (0.610),000997.mp3 (0.671),000897.mp3 (0.675)
000197.mp3,000190.mp3 (0.912),000141.mp3 (0.908),000210.mp3 (0.881),000825.mp3 (0.427),000897.mp3 (0.476),000997.mp3 (0.512)
000200.mp3,000210.mp3 (0.993),000204.mp3 (0.991),000540.mp3 (0.990),000825.mp3 (0.587),000897.mp3 (0.656),000997.mp3 (0.656)
000203.mp3,000204.mp3 (0.923),000212.mp3 (0.923),000211.mp3 (0.912),000625.mp3 (0.552),000825.mp3 (0.585),000897.mp3 (0.595)
000204.mp3,000211.mp3 (0.997),000212.mp3 (0.991),000200.mp3 (0.991),000825.mp3 (0.624),000997.mp3 (0.679),000148.mp3 (0.682)
000207.mp3,000892.mp3 (0.985),000814.mp3 (0.979),000821.mp3 (0.975),000825.mp3 (0.715),000148.mp3 (0.720),000625.mp3 (0.754)
000210.mp3,000200.mp3 (0.993),000540.mp3 (0.989),000204.mp3 (0.989),000825.mp3 (0.621),000897.mp3 (0.688),000997.mp3 (0.690)
000211.mp3,000204.mp3 (0.997),000540.mp3 (0.991),000714.mp3 (0.988),000825.mp3 (0.620),000148.mp3 (0.660),000997.mp3 (0.672)
000212.mp3,000204.mp3 (0.991),000210.mp3 (0.988),000540.mp3 (0.985),000825.mp3 (0.635),000148.mp3 (0.681),000897.mp3 (0.701)
000213.mp3,000892.mp3 (0.983),000814.mp3 (0.972),000207.mp3 (0.968),000825.mp3 (0.715),000148.mp3 (0.717),000997.mp3 (0.767)
000255.mp3,000704.mp3 (0.972),000777.mp3 (0.953),000715.mp3 (0.944),000825.mp3 (0.722),000197.mp3 (0.736),000625.mp3 (0.782)
000256.mp3,000995.mp3 (0.934),000667.mp3 (0.929),000459.mp3 (0.925),000193.mp3 (0.565),000197.mp3 (0.580),000625.mp3 (0.707)
000368.mp3,000709.mp3 (0.957),000708.mp3 (0.955),000853.mp3 (0.952),000825.mp3 (0.717),000897.mp3 (0.755),000997.mp3 (0.756)
000424.mp3,000892.mp3 (0.973),000814.mp3 (0.970),000546.mp3 (0.966),000825.mp3 (0.703),000148.mp3 (0.728),000997.mp3 (0.748)
000459.mp3,000998.mp3 (0.986),000667.mp3 (0.985),000690.mp3 (0.984),000197.mp3 (0.623),000193.mp3 (0.631),000203.mp3 (0.710)
000534.mp3,000140.mp3 (0.997),000716.mp3 (0.992),000714.mp3 (0.991),000825.mp3 (0.619),000148.mp3 (0.638),000997.mp3 (0.667)
000540.mp3,000814.mp3 (0.996),000211.mp3 (0.991),000204.mp3 (0.991),000825.mp3 (0.635),000148.mp3 (0.704),000997.mp3 (0.718)
000546.mp3,000140.mp3 (0.991),000716.mp3 (0.990),000534.mp3 (0.990),000825.mp3 (0.632),000148.mp3 (0.665),000997.mp3 (0.677)
000574.mp3,000005.mp3 (0.987),000010.mp3 (0.959),000705.mp3 (0.959),000197.mp3 (0.590),000193.mp3 (0.623),000203.mp3 (0.674)
000602.mp3,000200.mp3 (0.988),000540.mp3 (0.975),000210.mp3 (0.974),000825.mp3 (0.590),000897.mp3 (0.648),000997.mp3 (0.659)
000615.mp3,000546.mp3 (0.973),000190.mp3 (0.966),000141.mp3 (0.963),000825.mp3 (0.580),000997.mp3 (0.644),000897.mp3 (0.656)
000620.mp3,000534.mp3 (0.986),000140.mp3 (0.984),000716.mp3 (0.981),000825.mp3 (0.640),000148.mp3 (0.659),000997.mp3 (0.702)
000621.mp3,000140.mp3 (0.970),000546.mp3 (0.966),000676.mp3 (0.963),000148.mp3 (0.610),000825.mp3 (0.669),000997.mp3 (0.721)
000625.mp3,000002.mp3 (0.860),000010.mp3 (0.852),000705.mp3 (0.839),000203.mp3 (0.552),000825.mp3 (0.560),000193.mp3 (0.633)
000666.mp3,000667.mp3 (0.993),000459.mp3 (0.981),000998.mp3 (0.959),000197.mp3 (0.677),000193.mp3 (0.698),000203.mp3 (0.764)
000667.mp3,000666.mp3 (0.993),000459.mp3 (0.985),000005.mp3 (0.969),000197.mp3 (0.674),000193.mp3 (0.686),000203.mp3 (0.771)
000676.mp3,000892.mp3 (0.977),000706.mp3 (0.971),000704.mp3 (0.969),000148.mp3 (0.669),000197.mp3 (0.732),000825.mp3 (0.757)
000690.mp3,000997.mp3 (0.998),000897.mp3 (0.992),000459.mp3 (0.984),000193.mp3 (0.518),000197.mp3 (0.529),000203.mp3 (0.624)
000694.mp3,000707.mp3 (0.950),000368.mp3 (0.937),000709.mp3 (0.920),000197.mp3 (0.680),000625.mp3 (0.733),000193.mp3 (0.767)
000695.mp3,000993.mp3 (0.974),000666.mp3 (0.932),000998.mp3 (0.928),000197.mp3 (0.655),000203.mp3 (0.656),000193.mp3 (0.682)
000704.mp3,000255.mp3 (0.972),000676.mp3 (0.969),000821.mp3 (0.966),000825.mp3 (0.712),000148.mp3 (0.745),000197.mp3 (0.799)
000705.mp3,000010.mp3 (0.981),000005.mp3 (0.959),000574.mp3 (0.959),000148.mp3 (0.654),000197.mp3 (0.667),000193.mp3 (0.670)
000706.mp3,000540.mp3 (0.981),000814.mp3 (0.981),000676.mp3 (0.971),000825.mp3 (0.664),000148.mp3 (0.686),000997.mp3 (0.782)
000707.mp3,000694.mp3 (0.950),000709.mp3 (0.939),000005.mp3 (0.933),000197.mp3 (0.692),000625.mp3 (0.723),000193.mp3 (0.760)
000708.mp3,000182.mp3 (0.963),000368.mp3 (0.955),000709.mp3 (0.941),000193.mp3 (0.717),000148.mp3 (0.724),000825.mp3 (0.740)
000709.mp3,Song Name (0.971),000821.mp3 (0.961),000546.mp3 (0.960),000825.mp3 (0.751),000148.mp3 (0.760),000997.mp3 (0.795)
000714.mp3,000140.mp3 (0.992),000534.mp3 (0.991),000716.mp3 (0.991),000148.mp3 (0.635),000825.mp3 (0.649),000997.mp3 (0.691)
000715.mp3,000213.mp3 (0.963),000676.mp3 (0.959),000704.mp3 (0.955),000148.mp3 (0.715),000197.mp3 (0.727),000718.mp3 (0.737)
000716.mp3,000534.mp3 (0.992),000714.mp3 (0.991),000546.mp3 (0.990),000825.mp3 (0.641),000148.mp3 (0.670),000997.mp3 (0.681)
000718.mp3,000821.mp3 (0.914),000207.mp3 (0.904),000709.mp3 (0.901),000825.mp3 (0.644),000897.mp3 (0.668),000997.mp3 (0.687)
000777.mp3,000207.mp3 (0.959),000706.mp3 (0.958),000814.mp3 (0.955),000825.mp3 (0.708),000197.mp3 (0.765),000625.mp3 (0.765)
